SCENARIUSZ HIT | symbol=UK100 | data_godzina=2026-05-13 01:40:06 | sygnal=SELL | numer_scenariusza=SC7 | godzina_brokera=2026-05-13 02:35:00
SCENARIUSZ HIT | symbol=UK100 | data_godzina=2026-05-13 01:45:10 | sygnal=SELL | numer_scenariusza=SC7 | godzina_brokera=2026-05-13 02:40:00
SCENARIUSZ HIT | symbol=UK100 | data_godzina=2026-05-13 01:50:15 | sygnal=SELL | numer_scenariusza=SC7 | godzina_brokera=2026-05-13 02:45:00
SCENARIUSZ HIT | symbol=UK100 | data_godzina=2026-05-13 01:55:20 | sygnal=SELL | numer_scenariusza=SC7 | godzina_brokera=2026-05-13 02:50:00
SCENARIUSZ HIT | symbol=UK100 | data_godzina=2026-05-13 02:00:24 | sygnal=SELL | numer_scenariusza=SC7 | godzina_brokera=2026-05-13 02:55:00
SCENARIUSZ HIT | symbol=UK100 | data_godzina=2026-05-13 02:51:15 | sygnal=BUY | numer_scenariusza=SC2 | godzina_brokera=2026-05-13 03:45:00
SCENARIUSZ HIT | symbol=UK100 | data_godzina=2026-05-13 02:56:20 | sygnal=BUY | numer_scenariusza=SC2 | godzina_brokera=2026-05-13 03:50:00
SCENARIUSZ HIT | symbol=UK100 | data_godzina=2026-05-13 03:01:25 | sygnal=BUY | numer_scenariusza=SC2 | godzina_brokera=2026-05-13 03:55:00
SCENARIUSZ HIT | symbol=UK100 | data_godzina=2026-05-13 03:06:31 | sygnal=BUY | numer_scenariusza=SC10 | godzina_brokera=2026-05-13 04:00:00
SCENARIUSZ HIT | symbol=UK100 | data_godzina=2026-05-13 03:11:37 | sygnal=BUY | numer_scenariusza=SC2 | godzina_brokera=2026-05-13 04:05:00
SCENARIUSZ HIT | symbol=UK100 | data_godzina=2026-05-13 03:16:47 | sygnal=BUY | numer_scenariusza=SC2 | godzina_brokera=2026-05-13 04:10:00
SCENARIUSZ HIT | symbol=UK100 | data_godzina=2026-05-13 03:21:52 | sygnal=BUY | numer_scenariusza=SC2 | godzina_brokera=2026-05-13 04:15:00
