SCENARIUSZ HIT | symbol=JP225 | data_godzina=2026-05-13 02:46:12 | sygnal=BUY | numer_scenariusza=SC2 | godzina_brokera=2026-05-13 03:40:00
SCENARIUSZ HIT | symbol=JP225 | data_godzina=2026-05-13 02:51:17 | sygnal=BUY | numer_scenariusza=SC2 | godzina_brokera=2026-05-13 03:45:00
SCENARIUSZ HIT | symbol=JP225 | data_godzina=2026-05-13 02:56:22 | sygnal=BUY | numer_scenariusza=SC3 | godzina_brokera=2026-05-13 03:50:00
SCENARIUSZ HIT | symbol=JP225 | data_godzina=2026-05-13 03:06:34 | sygnal=BUY | numer_scenariusza=SC3 | godzina_brokera=2026-05-13 04:00:00
SCENARIUSZ HIT | symbol=JP225 | data_godzina=2026-05-13 03:11:44 | sygnal=BUY | numer_scenariusza=SC3 | godzina_brokera=2026-05-13 04:05:00
SCENARIUSZ HIT | symbol=JP225 | data_godzina=2026-05-13 03:16:49 | sygnal=BUY | numer_scenariusza=SC3 | godzina_brokera=2026-05-13 04:10:00
SCENARIUSZ HIT | symbol=JP225 | data_godzina=2026-05-13 03:21:54 | sygnal=BUY | numer_scenariusza=SC3 | godzina_brokera=2026-05-13 04:15:00
SCENARIUSZ HIT | symbol=JP225 | data_godzina=2026-05-13 03:26:59 | sygnal=BUY | numer_scenariusza=SC3 | godzina_brokera=2026-05-13 04:20:00
SCENARIUSZ HIT | symbol=JP225 | data_godzina=2026-05-13 03:32:04 | sygnal=BUY | numer_scenariusza=SC3 | godzina_brokera=2026-05-13 04:25:00
SCENARIUSZ HIT | symbol=JP225 | data_godzina=2026-05-13 03:37:09 | sygnal=BUY | numer_scenariusza=SC3 | godzina_brokera=2026-05-13 04:30:00
SCENARIUSZ HIT | symbol=JP225 | data_godzina=2026-05-13 03:42:14 | sygnal=BUY | numer_scenariusza=SC3 | godzina_brokera=2026-05-13 04:35:00
SCENARIUSZ HIT | symbol=JP225 | data_godzina=2026-05-13 03:47:19 | sygnal=BUY | numer_scenariusza=SC3 | godzina_brokera=2026-05-13 04:40:00
